station_id,station_name,forecast_issued_utc,forecast_issued_local,forecast_for_date,forecast_high_f,n_hours_in_forecast
KPHL,Philadelphia International,2026-04-04 05:22 UTC,2026-04-04 01:22 EDT,2026-04-05,69,24
KPHL,Philadelphia International,2026-04-04 07:01 UTC,2026-04-04 03:02 EDT,2026-04-05,69,24
KPHL,Philadelphia International,2026-04-04 08:41 UTC,2026-04-04 04:41 EDT,2026-04-05,69,24
KPHL,Philadelphia International,2026-04-04 10:33 UTC,2026-04-04 06:33 EDT,2026-04-05,69,24
KPHL,Philadelphia International,2026-04-04 12:55 UTC,2026-04-04 08:55 EDT,2026-04-05,69,24
KPHL,Philadelphia International,2026-04-04 14:34 UTC,2026-04-04 10:34 EDT,2026-04-05,69,24
KPHL,Philadelphia International,2026-04-04 16:36 UTC,2026-04-04 12:36 EDT,2026-04-05,69,24
KPHL,Philadelphia International,2026-04-04 18:42 UTC,2026-04-04 14:42 EDT,2026-04-05,69,24
KPHL,Philadelphia International,2026-04-04 20:32 UTC,2026-04-04 16:32 EDT,2026-04-05,69,24
KPHL,Philadelphia International,2026-04-04 22:30 UTC,2026-04-04 18:30 EDT,2026-04-05,69,24
KPHL,Philadelphia International,2026-04-05 05:45 UTC,2026-04-05 01:45 EDT,2026-04-06,58,24
KPHL,Philadelphia International,2026-04-05 07:06 UTC,2026-04-05 03:06 EDT,2026-04-06,58,24
KPHL,Philadelphia International,2026-04-05 08:42 UTC,2026-04-05 04:43 EDT,2026-04-06,57,24
KPHL,Philadelphia International,2026-04-05 10:34 UTC,2026-04-05 06:34 EDT,2026-04-06,57,24
KPHL,Philadelphia International,2026-04-05 12:57 UTC,2026-04-05 08:57 EDT,2026-04-06,57,24
KPHL,Philadelphia International,2026-04-05 14:37 UTC,2026-04-05 10:37 EDT,2026-04-06,57,24
KPHL,Philadelphia International,2026-04-05 16:37 UTC,2026-04-05 12:37 EDT,2026-04-06,57,24
KPHL,Philadelphia International,2026-04-05 18:44 UTC,2026-04-05 14:44 EDT,2026-04-06,57,24
KPHL,Philadelphia International,2026-04-05 20:33 UTC,2026-04-05 16:33 EDT,2026-04-06,58,24
KPHL,Philadelphia International,2026-04-05 22:31 UTC,2026-04-05 18:31 EDT,2026-04-06,58,24
KPHL,Philadelphia International,2026-04-06 05:59 UTC,2026-04-06 01:59 EDT,2026-04-07,51,24
KPHL,Philadelphia International,2026-04-06 07:58 UTC,2026-04-06 03:59 EDT,2026-04-07,51,24
KPHL,Philadelphia International,2026-04-06 09:17 UTC,2026-04-06 05:17 EDT,2026-04-07,52,24
KPHL,Philadelphia International,2026-04-06 10:57 UTC,2026-04-06 06:57 EDT,2026-04-07,52,24
