station_id,station_name,forecast_issued_utc,forecast_issued_local,forecast_for_date,forecast_high_f,n_hours_in_forecast
KPHX,Phoenix Sky Harbor,2026-04-04 02:31 UTC,2026-04-03 19:32 MST,2026-04-04,90,24
KPHX,Phoenix Sky Harbor,2026-04-04 07:01 UTC,2026-04-04 00:02 MST,2026-04-05,94,24
KPHX,Phoenix Sky Harbor,2026-04-04 08:41 UTC,2026-04-04 01:41 MST,2026-04-05,94,24
KPHX,Phoenix Sky Harbor,2026-04-04 10:33 UTC,2026-04-04 03:33 MST,2026-04-05,94,24
KPHX,Phoenix Sky Harbor,2026-04-04 12:55 UTC,2026-04-04 05:55 MST,2026-04-05,94,24
KPHX,Phoenix Sky Harbor,2026-04-04 14:34 UTC,2026-04-04 07:34 MST,2026-04-05,94,24
KPHX,Phoenix Sky Harbor,2026-04-04 16:36 UTC,2026-04-04 09:36 MST,2026-04-05,94,24
KPHX,Phoenix Sky Harbor,2026-04-04 18:42 UTC,2026-04-04 11:42 MST,2026-04-05,95,24
KPHX,Phoenix Sky Harbor,2026-04-04 20:32 UTC,2026-04-04 13:32 MST,2026-04-05,95,24
KPHX,Phoenix Sky Harbor,2026-04-04 22:30 UTC,2026-04-04 15:30 MST,2026-04-05,95,24
KPHX,Phoenix Sky Harbor,2026-04-05 02:28 UTC,2026-04-04 19:28 MST,2026-04-05,95,24
KPHX,Phoenix Sky Harbor,2026-04-05 07:06 UTC,2026-04-05 00:06 MST,2026-04-06,88,24
KPHX,Phoenix Sky Harbor,2026-04-05 08:42 UTC,2026-04-05 01:43 MST,2026-04-06,88,24
KPHX,Phoenix Sky Harbor,2026-04-05 10:34 UTC,2026-04-05 03:35 MST,2026-04-06,88,24
KPHX,Phoenix Sky Harbor,2026-04-05 12:57 UTC,2026-04-05 05:58 MST,2026-04-06,88,24
KPHX,Phoenix Sky Harbor,2026-04-05 14:37 UTC,2026-04-05 07:37 MST,2026-04-06,88,24
KPHX,Phoenix Sky Harbor,2026-04-05 16:37 UTC,2026-04-05 09:37 MST,2026-04-06,88,24
KPHX,Phoenix Sky Harbor,2026-04-05 18:44 UTC,2026-04-05 11:44 MST,2026-04-06,89,24
KPHX,Phoenix Sky Harbor,2026-04-05 20:33 UTC,2026-04-05 13:34 MST,2026-04-06,89,24
KPHX,Phoenix Sky Harbor,2026-04-05 22:31 UTC,2026-04-05 15:31 MST,2026-04-06,89,24
KPHX,Phoenix Sky Harbor,2026-04-06 02:28 UTC,2026-04-05 19:28 MST,2026-04-06,89,24
KPHX,Phoenix Sky Harbor,2026-04-06 07:58 UTC,2026-04-06 00:59 MST,2026-04-07,93,24
